,question,location,corpus_id
20,Within what time frame must the controller inform the data subject of the reasons for not taking action?,"{'text': 'the controller shall inform the data subject without delay and at the latest within one month of receipt of the request of the reasons for not taking action', 'start_chunk': 'the controller shall inform the data subject ', 'end_chunk': 'within one month of receipt of the request of the reasons for not taking action'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
21,Under what condition can the controller charge a fee for providing information or communication?,"{'text': 'Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may either: (a)  charge a reasonable fee taking into account the administrative costs of providing the information or communication or taking the action requested', 'start_chunk': 'Where requests from a data subject', 'end_chunk': 'costs of providing the information or communication or taking the action requested'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
22,What must the controller demonstrate to refuse to act on the request?,"{'text': 'The controller shall bear the burden of demonstrating the manifestly unfounded or excessive character of the request', 'start_chunk': 'The controller shall bear the burden', 'end_chunk': 'the manifestly unfounded or excessive character of the request'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
23,What must be provided free of charge according to the excerpt?,"{'text': 'Information provided under Articles 13 and 14 and any communication and any actions taken under Articles 15 to 22 and 34 shall be provided free of charge', 'start_chunk': 'Information provided under Articles 13 and 14', 'end_chunk': 'Articles 15 to 22 and 34 shall be provided free of charge'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
24,Under which articles might the controller request additional information to confirm the data subject's identity?,"{'text': 'Articles 15 to 21', 'start_chunk': 'where the controller has reasonable doubts concerning the identity of the natural person making the request referred to in ', 'end_chunk': ', the controller may request the provision of additional information necessary to confirm the identity of the data subject.'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
25,What condition must be met for the controller to request additional information to confirm identity under Article 11?,"{'text': 'has reasonable doubts concerning the identity', 'start_chunk': 'where the controller ', 'end_chunk': 'concerning the identity of the natural person making the request referred to in Articles 15 to 21'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
26,In what manner should icons be presented electronically?,"{'text': 'machine-readable', 'start_chunk': 'Where the icons are presented electronically they shall be', 'end_chunk': '.'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
27,Who is empowered to adopt delegated acts to determine the information to be presented by icons?,"{'text': 'The Commission', 'start_chunk': '', 'end_chunk': 'shall be empowered to adopt delegated acts in accordance with Article 92'}","C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 12- Transparent information, communication and modalities for the exercise of the rights of the data.txt"
28,What is the first piece of information the controller must provide to the data subject?,"the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information: (a) the identity and the contact details of the controller and, where applicable, of the controller's representative",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
29,What contact details must be provided where applicable?,"(b) the contact details of the data protection officer, where applicable",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
30,What purposes must the controller provide?,(c) the purposes of the processing for which the personal data are intended as well as the legal basis for the processing,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
31,When must the controller provide the information to the data subject?,"the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
32,What document is mentioned in the legal excerpt?,"{'text': '.5.2016 L 119/40', 'start_chunk': '0', 'end_chunk': '15'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
33,Which article and point of a certain statute can the legitimate interests be based on?,"{'text': 'point (f) of Article 6(1)', 'start_chunk': '22', 'end_chunk': '45'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
34,What must the controller reference if the transfer is referred to in Article 46 or 47?,"{'text': 'reference to the appropriate or suitable safeguards and the means by which to obtain a copy of them or where they have been made available.', 'start_chunk': '299', 'end_chunk': '400'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
35,What does the recipient category indicate?,"{'text': 'the recipients or categories of recipients of the personal data, if any', 'start_chunk': '89', 'end_chunk': '148'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
36,When was the motion filed?,"{'exact_text': 'The plaintiff filed the motion on January 15, 2023', 'start_chunk': 'The', 'end_chunk': '2023'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
37,Who filed the motion?,"{'exact_text': 'The plaintiff filed the motion', 'start_chunk': 'The', 'end_chunk': 'motion'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
38,"What was filed on January 15, 2023?","{'exact_text': 'The plaintiff filed the motion on January 15, 2023', 'start_chunk': 'The', 'end_chunk': '2023'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
39,What date did the plaintiff take legal action?,"{'exact_text': 'The plaintiff filed the motion on January 15, 2023', 'start_chunk': 'The', 'end_chunk': '2023'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
40,What must the controller provide the data subject at the time personal data are obtained?,"{'start_chunk': 'In addition to the information referred to in paragraph 1, the controller shall, ', 'end_chunk': 'at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing:'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
41,What must the controller inform the data subject about the period for storing personal data?,"{'start_chunk': '(a) the period for which the personal data will be stored, ', 'end_chunk': 'or if that is not possible, the criteria used to determine that period;'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
42,What rights concerning personal data can the data subject request from the controller?,"{'start_chunk': '(b) the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject ', 'end_chunk': 'or to object to processing as well as the right to data portability;'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
43,Under what condition can the data subject withdraw consent to processing personal data?,"{'start_chunk': '(c) where the processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), ', 'end_chunk': 'the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal;'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
44,What article numbers are referred to in point (f)?,"{'exact_text': 'Article 22(1) and (4)', 'start_chunk': 1, 'end_chunk': 1}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
45,What can a data subject do if the processing is based on point (a) of Article 6(1)?,"{'exact_text': 'the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal', 'start_chunk': 1, 'end_chunk': 1}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
46,Which right can be exercised related to automated decision-making?,"{'exact_text': 'the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4)', 'start_chunk': 1, 'end_chunk': 1}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
47,What information about the provision of personal data is a data subject entitled to know?,"{'exact_text': 'whether the provision of personal data is a statutory or contractual requirement, or a requirement necessary to enter into a contract, as well as whether the data subject is obliged to provide the personal data and of the possible consequences of failure to provide such data', 'start_chunk': 1, 'end_chunk': 1}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
48,What did the defendant request in the motion?,"{'text': 'The defendant requested a summary judgment.', 'start_chunk': 5, 'end_chunk': 9}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
49,When is the hearing scheduled to take place?,"{'text': 'The hearing is scheduled for February 20, 2023.', 'start_chunk': 35, 'end_chunk': 71}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
50,Who did the court grant additional time to file a response?,"{'text': 'The court granted the plaintiff additional time to file a response.', 'start_chunk': 14, 'end_chunk': 72}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
51,What date is the deadline for the plaintiff to file a response?,"{'text': 'The deadline for the plaintiff to file a response is March 1, 2023.', 'start_chunk': 38, 'end_chunk': 82}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
52,What must the controller provide the data subject with prior to further processing for a new purpose?,"{'text': 'the controller shall provide the data subject prior to that further processing with information on that other purpose and with any relevant further information as referred to in paragraph 2', 'start_chunk': 'the controller shall', 'end_chunk': 'referred to in paragraph 2'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
53,"Under what condition do paragraphs 1, 2, and 3 not apply?","{'text': 'Paragraphs 1, 2 and 3 shall not apply where and insofar as the data subject already has the information.', 'start_chunk': 'Paragraphs 1, 2 and 3', 'end_chunk': 'already has the information.'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
54,"Which paragraph explains that paragraphs 1, 2, and 3 are not always applicable?","{'text': 'Paragraphs 1, 2 and 3 shall not apply where and insofar as the data subject already has the information.', 'start_chunk': 'Paragraphs 1, 2 and 3 shall', 'end_chunk': 'already has the information.'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
55,What must the controller provide to the data subject if the processing purpose changes?,"{'text': 'the controller shall provide the data subject prior to that further processing with information on that other purpose and with any relevant further information as referred to in paragraph 2', 'start_chunk': 'the controller shall', 'end_chunk': 'referred to in paragraph 2'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 13- Information to be provided where personal data are collected from the data subject.txt
56,Who needs to provide the data subject with the information if personal data have not been obtained from the data subject?,"{'start_chunk': 'Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information', 'end_chunk': 'obtained from the data subject, the controller shall provide the data subject with the following information'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
57,What must be provided to the data subject along with the identity of the controller?,"{'start_chunk': '(a) the identity and the contact details of the controller', 'end_chunk': 'identity and the contact details of the controller'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
58,"What kind of details are to be provided about the data protection officer, if applicable?","{'start_chunk': '(b) the contact details of the data protection officer, where applicable', 'end_chunk': 'contact details of the data protection officer, where applicable'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
59,What are the recipients of the personal data referred to as in the provided information?,"{'start_chunk': '(e) the recipients or categories of recipients of the personal data', 'end_chunk': 'the recipients or categories of recipients of the personal data'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
60,What must the controller inform about the possibility of transferring personal data?,"{'text': 'that the controller intends to transfer personal data to a recipient in a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1)', 'start_chunk': 47, 'end_chunk': 380}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
61,What articles are mentioned in relation to transfers requiring suitable safeguards?,"{'text': 'in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1)', 'start_chunk': 302, 'end_chunk': 380}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
62,What should be provided to obtain a copy of the suitable safeguards?,"{'text': 'reference to the appropriate or suitable safeguards and the means to obtain a copy of them or where they have been made available', 'start_chunk': 381, 'end_chunk': 475}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
63,What two types of recipients are mentioned for data transfers?,"{'text': 'to a recipient in a third country or international organisation', 'start_chunk': 86, 'end_chunk': 168}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
64,What kind of claim did the defendant file?,"{'text': 'The defendant filed a counterclaim on March 1, 2023.', 'start_chunk': 0, 'end_chunk': 1}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
65,When did the defendant file the counterclaim?,"{'text': 'The defendant filed a counterclaim on March 1, 2023.', 'start_chunk': 0, 'end_chunk': 1}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
66,"Who filed a counterclaim on March 1, 2023?","{'text': 'The defendant filed a counterclaim on March 1, 2023.', 'start_chunk': 0, 'end_chunk': 1}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
67,"What legal action did the defendant take on March 1, 2023?","{'text': 'The defendant filed a counterclaim on March 1, 2023.', 'start_chunk': 0, 'end_chunk': 1}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
68,What information must the controller provide to ensure fair and transparent processing?,"{'text': 'the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:', 'start_chunk': 61, 'end_chunk': 191}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
69,What must be included if the personal data storage period is unclear?,"{'text': 'the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;', 'start_chunk': 284, 'end_chunk': 425}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
70,"According to point (f) of Article 6(1), whose legitimate interests should be addressed?","{'text': 'where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party;', 'start_chunk': 428, 'end_chunk': 603}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
71,What do data subjects have a right to request from the controller?,"{'text': 'the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject and to object to processing as well as the right to data portability;', 'start_chunk': 606, 'end_chunk': 855}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
72,Which article mentions the right to withdraw consent?,"{'text': 'where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time', 'start_chunk': 'where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2)', 'end_chunk': 'the existence of the right to withdraw consent at any time'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
73,What information must be provided regarding automated decision-making?,"{'text': 'the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject', 'start_chunk': 'the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4)', 'end_chunk': 'the significance and the envisaged consequences of such processing for the data subject'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
74,What right can be exercised with a supervisory authority?,"{'text': 'the right to lodge a complaint with a supervisory authority', 'start_chunk': 'the right to lodge a complaint with a supervisory authority', 'end_chunk': 'the right to lodge a complaint with a supervisory authority'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
75,What details should be provided if personal data originate from public sources?,"{'text': 'from which source the personal data originate, and if applicable, whether it came from publicly accessible sources', 'start_chunk': 'from which source the personal data originate', 'end_chunk': 'whether it came from publicly accessible sources'}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
76,What is the title used before the individual's name?,"{'text': 'The plaintiff filed the motion on January 15, 2023', 'start_chunk': 4, 'end_chunk': 12}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
77,On what exact date was the motion filed?,"{'text': 'The plaintiff filed the motion on January 15, 2023', 'start_chunk': 36, 'end_chunk': 54}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
78,"What action is associated with January 15, 2023?","{'text': 'The plaintiff filed the motion on January 15, 2023', 'start_chunk': 24, 'end_chunk': 30}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
79,"Who took action on January 15, 2023?","{'text': 'The plaintiff filed the motion on January 15, 2023', 'start_chunk': 4, 'end_chunk': 12}",C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//General Data Protection Regulation/GDPR - Article 14- Information to be provided where personal data have not been obtained from the data subject.txt
