,question,references,corpus_id,Unnamed: 0
13,"According to Article 386 paragraph 1 of the Greek Penal Code, what punishment is specified for causing damage to another person's property through fraud?","[{""content"": ""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another person\u2019s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years"", ""start_index"": 81, ""end_index"": 547}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
14,"Under the provision of Article 386 paragraph 1 of the Greek Penal Code, what type of benefit must the perpetrator intend to obtain for the crime of fraud?","[{""content"": ""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another person\u2019s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years"", ""start_index"": 81, ""end_index"": 547}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
15,What are the elements required to establish the crime of fraud?,"[{""content"": ""From this provision, it follows that for the crime of fraud to be established, the following elements are required:\n\na) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;\n\nb) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which, as a causal factor, someone is deceived and acts in a way that is detrimental to themselves or another (by an act, omission, or acquiescence); and\n\nc) Damage to another\u2019s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition. It is not required that the person deceived be the same person who suffered the damage"", ""start_index"": 0, ""end_index"": 901}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
16,"According to the provision, what is necessary for damage to be considered in the crime of fraud?","[{""content"": ""c) Damage to another\u2019s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition. It is not required that the person deceived be the same person who suffered the damage"", ""start_index"": 557, ""end_index"": 901}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
17,"What actions constitute the intent required for the crime of fraud, based on the provided provision?","[{""content"": ""a) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;"", ""start_index"": 117, ""end_index"": 270}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
18,"What type of misrepresentation is required for the crime of fraud to be established, based on the elements outlined?","[{""content"": ""b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which, as a causal factor, someone is deceived and acts in a way that is detrimental to themselves or another (by an act, omission, or acquiescence);"", ""start_index"": 272, ""end_index"": 551}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
19,What connection must exist between fraudulent conduct and damage to someone's property for the crime of fraud to be established?,"[{""content"": ""c) Damage to another\u2019s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition. It is not required that the person deceived be the same person who suffered the damage"", ""start_index"": 557, ""end_index"": 901}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
20,What must be causally linked to the fraudulent conduct to establish property damage in the context of the crime of fraud?,"[{""content"": ""Damage to another\u2019s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition"", ""start_index"": 3, ""end_index"": 256}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
21,What is required for property damage to exist in the context of fraud?,"[{""content"": ""Property damage exists when there is a reduction or deterioration in the victim\u2019s assets, even if the victim has an active claim to restitution"", ""start_index"": 347, ""end_index"": 490}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
22,Is it necessary for the person deceived to be the same person who suffered the property damage in cases of fraud?,"[{""content"": ""It is not required that the person deceived be the same person who suffered the damage"", ""start_index"": 258, ""end_index"": 344}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
23,"What kind of damage must be the direct, necessary, and exclusive result of the property disposition in the crime of fraud?","[{""content"": ""However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition\u2014namely, the act, omission, or acquiescence performed by the person deceived by the perpetrator\u2019s fraudulent conduct"", ""start_index"": 492, ""end_index"": 768}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
24,"In the context of the crime of fraud, what is the relationship required between the perpetrator's fraudulent conduct and the property damage?","[{""content"": ""Damage to another\u2019s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct (the deceptive act or omission of the perpetrator) and to the resulting deception of the person who made the property disposition"", ""start_index"": 3, ""end_index"": 256}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
25,What is required for property damage to be considered an element of the objective aspect of the crime of fraud?,"[{""content"": ""However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition\u2014namely, the act, omission, or acquiescence performed by the person deceived by the perpetrator\u2019s fraudulent conduct"", ""start_index"": 145, ""end_index"": 421}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
26,What must be the outcome of the property damage in relation to the deception and the actions of the deceived person for it to be considered an element of the objective aspect of fraud?,"[{""content"": ""There must therefore be a causal connection between the perpetrator\u2019s deceptive behavior and the deception it caused, as well as between this deception and the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person"", ""start_index"": 424, ""end_index"": 751}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
27,What is necessary for property damage to be attributed as an element of the objective aspect of fraud?,"[{""content"": ""Property damage exists when there is a reduction or deterioration in the victim\u2019s assets, even if the victim has an active claim to restitution"", ""start_index"": 0, ""end_index"": 143}, {""content"": ""However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition\u2014namely, the act, omission, or acquiescence performed by the person deceived by the perpetrator\u2019s fraudulent conduct"", ""start_index"": 145, ""end_index"": 421}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
28,What type of relationship must exist between the deceptive behavior and resulting property damage for it to be considered an element of the objective aspect of fraud?,"[{""content"": ""There must therefore be a causal connection between the perpetrator\u2019s deceptive behavior and the deception it caused, as well as between this deception and the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person"", ""start_index"": 424, ""end_index"": 751}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
29,What is the requirement for the property damage to be an exclusive result of the deception and the actions of the deceived person in the crime of fraud?,"[{""content"": ""However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition\u2014namely, the act, omission, or acquiescence performed by the person deceived by the perpetrator\u2019s fraudulent conduct"", ""start_index"": 145, ""end_index"": 421}, {""content"": ""There must therefore be a causal connection between the perpetrator\u2019s deceptive behavior and the deception it caused, as well as between this deception and the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person"", ""start_index"": 424, ""end_index"": 751}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
30,What distinguishes the term 'facts' from circumstances expected to occur in the future?,"[{""content"": ""The term \u201cfacts\u201d refers to real circumstances relating to the past or present, and not to those expected to occur in the future, such as mere promises or contractual obligations"", ""start_index"": 330, ""end_index"": 507}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
31,What establishes the crime of fraud according to the text?,"[{""content"": ""However, when such promises or obligations are accompanied by false assurances and representations of other false facts relating to the present or the past, in such a way as to create the impression of future fulfillment, based on the false present situation presented by a perpetrator who has already made the decision not to fulfill their obligation, then the crime of fraud is established"", ""start_index"": 509, ""end_index"": 900}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
32,"According to the text, what connections must exist for property damage to be the outcome of deception?","[{""content"": ""There must therefore be a causal connection between the perpetrator\u2019s deceptive behavior and the deception it caused, as well as between this deception and the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person"", ""start_index"": 0, ""end_index"": 327}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
33,"According to the text, what is necessary for property damage to be considered the result of deception and the actions of the deceived person?","[{""content"": ""There must therefore be a causal connection between the perpetrator\u2019s deceptive behavior and the deception it caused, as well as between this deception and the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person"", ""start_index"": 0, ""end_index"": 327}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
34,What must be present for the crime of fraud to be established based on the text?,"[{""content"": ""However, when such promises or obligations are accompanied by false assurances and representations of other false facts relating to the present or the past, in such a way as to create the impression of future fulfillment, based on the false present situation presented by a perpetrator who has already made the decision not to fulfill their obligation, then the crime of fraud is established"", ""start_index"": 509, ""end_index"": 900}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
35,"According to the text, when is the time of commission of the fraud considered?","[{""content"": ""The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct\u2014that is, when they made the false representations that deceived the victim or a third party"", ""start_index"": 0, ""end_index"": 223}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
36,At what time is the financial loss of the victim relevant in the commission of fraud?,"[{""content"": ""Any later time at which the victim\u2019s financial loss actually occurred\u2014thus completing the fraud\u2014or the time when the deceived person performed the harmful act or omission, is irrelevant"", ""start_index"": 225, ""end_index"": 410}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
37,What specific events mark the time of commission of fraud according to the text?,"[{""content"": ""The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct\u2014that is, when they made the false representations that deceived the victim or a third party"", ""start_index"": 0, ""end_index"": 223}, {""content"": ""Any later time at which the victim\u2019s financial loss actually occurred\u2014thus completing the fraud\u2014or the time when the deceived person performed the harmful act or omission, is irrelevant"", ""start_index"": 225, ""end_index"": 410}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
38,When does the time of commission of fraud occur based on the text?,"[{""content"": ""The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct\u2014that is, when they made the false representations that deceived the victim or a third party"", ""start_index"": 0, ""end_index"": 223}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
39,What is considered irrelevant in relation to the time of commission of fraud?,"[{""content"": ""Any later time at which the victim\u2019s financial loss actually occurred\u2014thus completing the fraud\u2014or the time when the deceived person performed the harmful act or omission, is irrelevant"", ""start_index"": 225, ""end_index"": 410}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 1501_2018.txt,
40,What are the required elements for the crime of fraud to be established according to Article 386 paragraph 1 of the Greek Penal Code?,"[{""content"": ""From these provisions, it follows that, for the crime of fraud to be established, the following elements are required:\n\na) The intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit;\n\nb) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which\u2014serving as the causal factor\u2014someone is deceived and proceeds to an act, omission, or acquiescence detrimental to themselves or another; and"", ""start_index"": 527, ""end_index"": 1024}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
41,"According to Article 386 paragraph 1 of the Greek Penal Code, what punishment is specified for causing damage to another's property through fraud?","[{""content"": ""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another\u2019s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years"", ""start_index"": 64, ""end_index"": 523}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
42,What are the minimum imprisonment terms specified in Article 386 paragraph 1 of the Greek Penal Code for committing fraud?,"[{""content"": ""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another\u2019s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years"", ""start_index"": 64, ""end_index"": 523}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
43,What is the specified minimum imprisonment term in Article 386 paragraph 1 of the Greek Penal Code for causing damage to another's property through fraud?,"[{""content"": ""Whoever, with the intent to obtain for themselves or another an unlawful pecuniary benefit, causes damage to another\u2019s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts, shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years"", ""start_index"": 64, ""end_index"": 523}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
44,"What elements are required for the crime of fraud, as outlined in Article 386 paragraph 1 of the Greek Penal Code, to be established?","[{""content"": ""From these provisions, it follows that, for the crime of fraud to be established, the following elements are required:"", ""start_index"": 527, ""end_index"": 645}, {""content"": ""a) The intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit;"", ""start_index"": 647, ""end_index"": 746}, {""content"": ""b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which\u2014serving as the causal factor\u2014someone is deceived and proceeds to an act, omission, or acquiescence detrimental to themselves or another;"", ""start_index"": 748, ""end_index"": 1020}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
45,What are the required elements for establishing the crime of fraud?,"[{""content"": ""a) The intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit;"", ""start_index"": 120, ""end_index"": 219}, {""content"": ""b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which\u2014serving as the causal factor\u2014someone is deceived and proceeds to an act, omission, or acquiescence detrimental to themselves or another; and"", ""start_index"": 221, ""end_index"": 497}, {""content"": ""c) Damage to another\u2019s property, as defined under civil law, which must be causally connected to the perpetrator\u2019s deceptive acts"", ""start_index"": 499, ""end_index"": 628}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
46,What is one of the necessary conditions for fraudulent conduct according to the provided text?,"[{""content"": ""b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which\u2014serving as the causal factor\u2014someone is deceived and proceeds to an act, omission, or acquiescence detrimental to themselves or another;"", ""start_index"": 221, ""end_index"": 493}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
47,"According to the text, what is essential for someone to be deceived and proceed to an action detrimental to themselves or another in the context of fraud?","[{""content"": ""b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which\u2014serving as the causal factor\u2014someone is deceived and proceeds to an act, omission, or acquiescence detrimental to themselves or another; and"", ""start_index"": 221, ""end_index"": 497}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
48,What type of damage to another's property must be present for fraud to be established based on the text?,"[{""content"": ""c) Damage to another\u2019s property, as defined under civil law, which must be causally connected to the perpetrator\u2019s deceptive acts"", ""start_index"": 499, ""end_index"": 628}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
49,What is one of the specific requirements for damage to be linked to the perpetrator's deceptive acts in cases of fraud?,"[{""content"": ""c) Damage to another\u2019s property, as defined under civil law, which must be causally connected to the perpetrator\u2019s deceptive acts"", ""start_index"": 499, ""end_index"": 628}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
50,How is the crime of fraud established both objectively and subjectively?,"[{""content"": ""From the above provisions, it is deduced that the crime of fraud is established both objectively and subjectively through the knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true ones, by which another person is deceived and, as a result, performs an act, omission, or acquiescence involving a disposition of property that directly and necessarily causes financial damage to the deceived person or another, with the intent that the perpetrator or another gain an unlawful benefit"", ""start_index"": 410, ""end_index"": 937}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
51,What must be causally connected to the perpetrator's deceptive acts in the crime of fraud?,"[{""content"": ""c) Damage to another\u2019s property, as defined under civil law, which must be causally connected to the perpetrator\u2019s deceptive acts"", ""start_index"": 278, ""end_index"": 407}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
52,What is required for the crime of fraud in relation to financial damage?,"[{""content"": ""From the above provisions, it is deduced that the crime of fraud is established both objectively and subjectively through the knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true ones, by which another person is deceived and, as a result, performs an act, omission, or acquiescence involving a disposition of property that directly and necessarily causes financial damage to the deceived person or another, with the intent that the perpetrator or another gain an unlawful benefit"", ""start_index"": 410, ""end_index"": 937}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
53,How is the crime of fraud deduced from the provisions regarding knowing misrepresentation or concealment of facts in civil law?,"[{""content"": ""From the above provisions, it is deduced that the crime of fraud is established both objectively and subjectively through the knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true ones, by which another person is deceived and, as a result, performs an act, omission, or acquiescence involving a disposition of property that directly and necessarily causes financial damage to the deceived person or another, with the intent that the perpetrator or another gain an unlawful benefit"", ""start_index"": 410, ""end_index"": 937}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
54,What is necessary for the crime of fraud to be established through the misrepresentation or suppression of facts?,"[{""content"": ""b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which\u2014serving as the causal factor\u2014someone is deceived and proceeds to an act, omission, or acquiescence detrimental to themselves or another;"", ""start_index"": 0, ""end_index"": 272}, {""content"": ""From the above provisions, it is deduced that the crime of fraud is established both objectively and subjectively through the knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true ones, by which another person is deceived and, as a result, performs an act, omission, or acquiescence involving a disposition of property that directly and necessarily causes financial damage to the deceived person or another, with the intent that the perpetrator or another gain an unlawful benefit"", ""start_index"": 410, ""end_index"": 937}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
55,What type of circumstances do the term 'facts' refer to within the provision mentioned?,"[{""content"": ""The term \u201cfacts,\u201d within the meaning of the above provision, refers to real circumstances relating to the past or present, and not to those expected to occur in the future, such as mere promises or contractual obligations"", ""start_index"": 0, ""end_index"": 221}]",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation/Decision No 310_2016.txt,
