,question,location,corpus_id
10,What is the intent behind deceiving another person in the context of fraud as per Article 386 paragraph 1 of the Greek Penal Code?,with the intent of obtaining an unlawful benefit for themselves or another.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt
11,"According to Article 386 paragraph 1 of the Greek Penal Code, is the achievement of the intended benefit relevant in the crime of fraud?",It is irrelevant whether or not this intended benefit was actually achieved.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt
12,What type of situations would create the impression of future fulfillment based on false facts?,"in such a manner as to create the impression of future fulfillment, based on the false situation presented by the perpetrator",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt
13,Who has made the decision not to fulfill their obligation?,who has already made the decision not to fulfill their obligation,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1484_2018.txt
14,What provision of the Greek Penal Code is referenced in the text?,"According to the provision of Article 386 paragraph 1 of the Greek Penal Code,",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
15,What is the minimum imprisonment term for the crime of fraud according to the provision?,"by imprisonment of at least three months,",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
16,What specific action qualifies as establishing the crime of fraud in the provided context?,"cause damage to another person’s property by persuading someone to act, omit, or tolerate something through the knowing misrepresentation of false facts as true, or through the unlawful concealment or suppression of true facts,",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
17,What elements are required for the crime of fraud to be established?,"From this provision, it follows that for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
18,What must the perpetrator intend to obtain for themselves or another to establish fraud?,"a) Intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit, regardless of whether this benefit was actually realized;",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
19,What type of facts must the perpetrator knowingly misrepresent to establish fraud?,"b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts,",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
20,Is it necessary for the deceived person to be the same as the one who suffered the damage in a fraud case?,It is not required that the person deceived be the same person who suffered the damage.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
21,What type of damage must be causally linked to the fraudulent conduct?,"Damage to another’s property, in the sense recognized by civil law, which must be causally linked to the fraudulent conduct",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
22,Is it required that the person deceived be the same person who suffered the damage?,It is not required that the person deceived be the same person who suffered the damage.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
23,What must the damage be as an element of the objective aspect of fraud?,"However, as an element of the objective aspect of the crime of fraud, the damage must be the direct, necessary, and exclusive result of the property disposition",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
24,What connection must exist between the perpetrator's behavior and the deception caused by it?,There must therefore be a causal connection between the perpetrator’s deceptive behavior and the deception it caused,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
25,What connection must exist between the deception and the resulting property damage?,there must be a causal connection between this deception and the resulting property damage,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
26,"What must the property damage be as a result of the deception and the act, omission or acquiescence?","the resulting property damage, which must be the direct, necessary, and exclusive outcome of the deception and of the act, omission, or acquiescence of the deceived person",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
27,What does the term 'facts' refer to?,"The term “facts” refers to real circumstances relating to the past or present, and not to those expected to occur in the future",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
28,When is the crime of fraud established according to the text?,then the crime of fraud is established,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
29,When is the time of commission of the fraud considered?,"The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct—that is, when they made the false representations that deceived the victim or a third party.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
30,What is irrelevant in determining the time of commission of the fraud?,"Any later time at which the victim’s financial loss actually occurred—thus completing the fraud—or the time when the deceived person performed the harmful act or omission, is irrelevant.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt
31,What specific punishment is outlined in Article 386 paragraph 1 of the Greek Penal Code?,"shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt
32,What is required for the establishment of the crime of fraud according to the provided text?,"From these provisions, it follows that, for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt
33,What is the first element required for the crime of fraud to be established?,a) The intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit;,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt
34,What is the second element required for the crime of fraud to be established?,"b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which—serving as the causal factor—someone is deceived and proceeds to an act, omission, or acquiescence detrimental to themselves or another;",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt
35,What is the third element required for the crime of fraud to be established?,"c) Damage to another’s property, as defined under civil law, which must be causally connected to the perpetrator’s deceptive acts.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt
36,What type of property damage must be causally connected to the perpetrator's deceptive acts?,"c) Damage to another’s property, as defined under civil law, which must be causally connected to the perpetrator’s deceptive acts.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt
37,How is the crime of fraud established both objectively and subjectively?,"From the above provisions, it is deduced that the crime of fraud is established both objectively and subjectively through the knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true ones...",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt
38,What type of circumstances do 'facts' refer to?,"The term “facts,” within the meaning of the above provision, refers to real circumstances relating to the past or present",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt
39,In what context is the crime of fraud established?,"when future circumstances—that is, promises or contractual obligations—are accompanied by false assurances and representations of other false facts referring to the present or past",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt
40,How long is the minimum imprisonment for causing damage to another's property with the intent to obtain an unlawful pecuniary benefit?,"shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
41,What is required for the crime of fraud to be established according to the provision?,"for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
42,Whose property must be damaged for the crime of fraud to be established?,"c) Damage to another’s property, according to civil law, which must be causally connected to the perpetrator’s deceptive acts or omissions.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
43,What must be knowingly misrepresented for the crime of fraud?,"b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which—serving as the causal factor—someone is deceived and performs an act, omission, or acquiescence;",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
44,What is required for the crime of fraud?,"From this provision, it follows that, for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
45,In which situations is it not required that the deceived person and the person who suffered the loss be the same?,It is not required that the deceived person and the person who suffered the loss be the same.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
46,"What must damage to another's property be causally connected to, according to civil law?","Damage to another’s property, according to civil law, which must be causally connected to the perpetrator’s deceptive acts or omissions.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
47,What does the term 'facts' refer to within the meaning of the above provision?,"The term “facts,” within the meaning of the above provision, refers to real circumstances relating to the past or present, and not to those that will occur in the future, such as mere promises or contractual obligations.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
48,When is the crime of fraud established?,then the crime of fraud is established.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
49,What is required to establish the crime of fraud?,then the crime of fraud is established.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
50,When is the time of commission of fraud considered?,"The time of commission of fraud is considered to be the moment when the perpetrator acted and completed the deceptive conduct, that is, when they made the false representations which deceived the victim or a third party.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
51,What time is considered irrelevant in determining fraud?,"Any later time at which the victim’s financial loss occurred—thus completing the fraud—or the time when the harmful act or omission of the deceived person took place, is irrelevant.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
52,When is the time of commission of fraud considered in relation to the perpetrator's conduct?,"The time of commission of fraud is considered to be the moment when the perpetrator acted and completed the deceptive conduct, that is, when they made the false representations which deceived the victim or a third party.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
53,What does the reference to multiple modes of commission of fraud aim to clarify?,"The reference to multiple modes of commission of fraud (i.e., both the misrepresentation of false facts and the concealment of true ones) may create ambiguity and contradiction, unless it is made clear from the overall findings that the offense was committed in one particular manner, and that the reference to the other merely serves to define the intent (mens rea) of the perpetrator.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
54,What articles specify the required justification for a conviction?,required by Articles 93 paragraph 3 of the Constitution and 139 of the Code of Criminal Procedure,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
55,Under what circumstances grounds for cassation exist?,The absence of such reasoning constitutes grounds for cassation (appeal) under Article 510 paragraph 1(d) of the Code of Criminal Procedure,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
56,How do the explanatory and operative parts of a decision relate to each other?,"For the existence of such reasoning, the explanatory and operative parts of the decision may complement each other, as they form a single, unified whole.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
57,What principle explains the relationship between the explanatory and operative parts of a decision?,"For the existence of such reasoning, the explanatory and operative parts of the decision may complement each other, as they form a single, unified whole.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
58,When is the existence of intent (dolus) generally presumed in a criminal case?,"The existence of intent (dolus) does not generally need to be specially justified, since it is inherent in the will to bring about the factual circumstances constituting the objective elements of the offense, and it is presumed from their realization in each particular case—unless the law requires additional elements for criminal liability, such as the act being committed with knowledge of a specific circumstance (direct intent) or with the pursuit of a further purpose, i.e., the achievement of an additional result (offenses requiring a special subjective element).",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
59,Who is authorized to declare a cassation on grounds mentioned in Article 510 paragraph 1(e) of the Code of Criminal Procedure?,"Under Article 510 paragraph 1(e) of the Code of Criminal Procedure, a misapplication of substantive criminal law also constitutes grounds for cassation.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
60,What kind of judgment lacks a lawful basis according to the text?,"In such cases, the judgment lacks a lawful basis.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt
61,What provision of the Greek Penal Code discusses the crime of fraud?,According to the provision of Article 386 paragraph 1 of the Greek Penal Code,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
62,What minimum imprisonment term is specified for causing damage through fraud?,shall be punished by imprisonment of at least three months,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
63,Is it necessary for the unlawful pecuniary benefit to materialize for the crime of fraud to be established?,without it being necessary that the benefit actually materialize,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
64,What elements are required to establish the crime of fraud?,"From this provision it follows that, for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
65,What actions constitute the knowing misrepresentation in the crime of fraud?,"b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
66,What must be causally linked to the deceptive acts or omissions in the crime of fraud?,"c) Damage to another person’s property, as defined under civil law, which must be causally linked to the deceptive acts or omissions of the perpetrator",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
67,What must be causally linked to the deceptive acts or omissions of the perpetrator?,"Damage to another person’s property, as defined under civil law, which must be causally linked to the deceptive acts or omissions of the perpetrator.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
68,Does the term 'facts' refer to future circumstances?,"The term “facts”, within the meaning of the above provision, refers to real circumstances relating to the past or present, and not to those that will occur in the future, such as mere promises or contractual obligations.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
69,To what is the term 'facts' related within the provided provision?,"The term “facts”, within the meaning of the above provision, refers to real circumstances relating to the past or present, and not to those that will occur in the future, such as mere promises or contractual obligations.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
70,What does the term 'facts' not refer to within the provided provision?,"The term “facts”, within the meaning of the above provision, refers to real circumstances relating to the past or present, and not to those that will occur in the future, such as mere promises or contractual obligations.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
71,When does property damage exist?,Property damage exists even if the victim possesses an active claim for restitution.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
72,What is considered the time of commission of the fraud?,"The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their fraudulent conduct, namely when they made the false representations that deceived the victim or a third party.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
73,Is the time when the victim's damage actually occurred relevant?,"Any subsequent moment at which the victim’s damage actually occurred—thereby completing the fraud—or the time when the victim carried out the harmful act or omission, is irrelevant.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
74,When does property damage mean its reduction?,"property means its reduction—specifically, the difference between the monetary value the property had before the disposition caused by the fraudulent conduct and the value remaining after it.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt
