,Unnamed: 0,question,location,corpus_id,references
27,27,What does the term 'facts' refer to?,"The term “facts” refers to real circumstances relating to the past or present, and not to those expected to occur in the future",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
28,28,When is the crime of fraud established according to the text?,then the crime of fraud is established,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
29,29,When is the time of commission of the fraud considered?,"The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their deceptive conduct—that is, when they made the false representations that deceived the victim or a third party.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
30,30,What is irrelevant in determining the time of commission of the fraud?,"Any later time at which the victim’s financial loss actually occurred—thus completing the fraud—or the time when the deceived person performed the harmful act or omission, is irrelevant.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 1501_2018.txt,
31,31,What specific punishment is outlined in Article 386 paragraph 1 of the Greek Penal Code?,"shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt,
32,32,What is required for the establishment of the crime of fraud according to the provided text?,"From these provisions, it follows that, for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt,
33,33,What is the first element required for the crime of fraud to be established?,a) The intent of the perpetrator to obtain for themselves or another an unlawful pecuniary benefit;,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt,
34,34,What is the second element required for the crime of fraud to be established?,"b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which—serving as the causal factor—someone is deceived and proceeds to an act, omission, or acquiescence detrimental to themselves or another;",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt,
35,35,What is the third element required for the crime of fraud to be established?,"c) Damage to another’s property, as defined under civil law, which must be causally connected to the perpetrator’s deceptive acts.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt,
36,36,What type of property damage must be causally connected to the perpetrator's deceptive acts?,"c) Damage to another’s property, as defined under civil law, which must be causally connected to the perpetrator’s deceptive acts.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt,
37,37,How is the crime of fraud established both objectively and subjectively?,"From the above provisions, it is deduced that the crime of fraud is established both objectively and subjectively through the knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true ones...",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt,
38,38,What type of circumstances do 'facts' refer to?,"The term “facts,” within the meaning of the above provision, refers to real circumstances relating to the past or present",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt,
39,39,In what context is the crime of fraud established?,"when future circumstances—that is, promises or contractual obligations—are accompanied by false assurances and representations of other false facts referring to the present or past",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 310_2016.txt,
40,40,How long is the minimum imprisonment for causing damage to another's property with the intent to obtain an unlawful pecuniary benefit?,"shall be punished by imprisonment of at least three months, and if the damage caused is particularly large, by imprisonment of at least two years.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
41,41,What is required for the crime of fraud to be established according to the provision?,"for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
42,42,Whose property must be damaged for the crime of fraud to be established?,"c) Damage to another’s property, according to civil law, which must be causally connected to the perpetrator’s deceptive acts or omissions.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
43,43,What must be knowingly misrepresented for the crime of fraud?,"b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts, as a result of which—serving as the causal factor—someone is deceived and performs an act, omission, or acquiescence;",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
44,44,What is required for the crime of fraud?,"From this provision, it follows that, for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
45,45,In which situations is it not required that the deceived person and the person who suffered the loss be the same?,It is not required that the deceived person and the person who suffered the loss be the same.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
46,46,"What must damage to another's property be causally connected to, according to civil law?","Damage to another’s property, according to civil law, which must be causally connected to the perpetrator’s deceptive acts or omissions.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
47,47,What does the term 'facts' refer to within the meaning of the above provision?,"The term “facts,” within the meaning of the above provision, refers to real circumstances relating to the past or present, and not to those that will occur in the future, such as mere promises or contractual obligations.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
48,48,When is the crime of fraud established?,then the crime of fraud is established.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
49,49,What is required to establish the crime of fraud?,then the crime of fraud is established.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
50,50,When is the time of commission of fraud considered?,"The time of commission of fraud is considered to be the moment when the perpetrator acted and completed the deceptive conduct, that is, when they made the false representations which deceived the victim or a third party.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
51,51,What time is considered irrelevant in determining fraud?,"Any later time at which the victim’s financial loss occurred—thus completing the fraud—or the time when the harmful act or omission of the deceived person took place, is irrelevant.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
52,52,When is the time of commission of fraud considered in relation to the perpetrator's conduct?,"The time of commission of fraud is considered to be the moment when the perpetrator acted and completed the deceptive conduct, that is, when they made the false representations which deceived the victim or a third party.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
53,53,What does the reference to multiple modes of commission of fraud aim to clarify?,"The reference to multiple modes of commission of fraud (i.e., both the misrepresentation of false facts and the concealment of true ones) may create ambiguity and contradiction, unless it is made clear from the overall findings that the offense was committed in one particular manner, and that the reference to the other merely serves to define the intent (mens rea) of the perpetrator.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
54,54,What articles specify the required justification for a conviction?,required by Articles 93 paragraph 3 of the Constitution and 139 of the Code of Criminal Procedure,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
55,55,Under what circumstances grounds for cassation exist?,The absence of such reasoning constitutes grounds for cassation (appeal) under Article 510 paragraph 1(d) of the Code of Criminal Procedure,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
56,56,How do the explanatory and operative parts of a decision relate to each other?,"For the existence of such reasoning, the explanatory and operative parts of the decision may complement each other, as they form a single, unified whole.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
57,57,What principle explains the relationship between the explanatory and operative parts of a decision?,"For the existence of such reasoning, the explanatory and operative parts of the decision may complement each other, as they form a single, unified whole.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
58,58,When is the existence of intent (dolus) generally presumed in a criminal case?,"The existence of intent (dolus) does not generally need to be specially justified, since it is inherent in the will to bring about the factual circumstances constituting the objective elements of the offense, and it is presumed from their realization in each particular case—unless the law requires additional elements for criminal liability, such as the act being committed with knowledge of a specific circumstance (direct intent) or with the pursuit of a further purpose, i.e., the achievement of an additional result (offenses requiring a special subjective element).",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
59,59,Who is authorized to declare a cassation on grounds mentioned in Article 510 paragraph 1(e) of the Code of Criminal Procedure?,"Under Article 510 paragraph 1(e) of the Code of Criminal Procedure, a misapplication of substantive criminal law also constitutes grounds for cassation.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
60,60,What kind of judgment lacks a lawful basis according to the text?,"In such cases, the judgment lacks a lawful basis.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 378_2015.txt,
61,61,What provision of the Greek Penal Code discusses the crime of fraud?,According to the provision of Article 386 paragraph 1 of the Greek Penal Code,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
62,62,What minimum imprisonment term is specified for causing damage through fraud?,shall be punished by imprisonment of at least three months,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
63,63,Is it necessary for the unlawful pecuniary benefit to materialize for the crime of fraud to be established?,without it being necessary that the benefit actually materialize,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
64,64,What elements are required to establish the crime of fraud?,"From this provision it follows that, for the crime of fraud to be established, the following elements are required:",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
65,65,What actions constitute the knowing misrepresentation in the crime of fraud?,"b) The knowing misrepresentation of false facts as true, or the unlawful concealment or suppression of true facts",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
66,66,What must be causally linked to the deceptive acts or omissions in the crime of fraud?,"c) Damage to another person’s property, as defined under civil law, which must be causally linked to the deceptive acts or omissions of the perpetrator",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
67,67,What must be causally linked to the deceptive acts or omissions of the perpetrator?,"Damage to another person’s property, as defined under civil law, which must be causally linked to the deceptive acts or omissions of the perpetrator.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
68,68,Does the term 'facts' refer to future circumstances?,"The term “facts”, within the meaning of the above provision, refers to real circumstances relating to the past or present, and not to those that will occur in the future, such as mere promises or contractual obligations.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
69,69,To what is the term 'facts' related within the provided provision?,"The term “facts”, within the meaning of the above provision, refers to real circumstances relating to the past or present, and not to those that will occur in the future, such as mere promises or contractual obligations.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
70,70,What does the term 'facts' not refer to within the provided provision?,"The term “facts”, within the meaning of the above provision, refers to real circumstances relating to the past or present, and not to those that will occur in the future, such as mere promises or contractual obligations.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
71,71,When does property damage exist?,Property damage exists even if the victim possesses an active claim for restitution.,C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
72,72,What is considered the time of commission of the fraud?,"The time of commission of the fraud is considered to be the moment when the perpetrator acted and completed their fraudulent conduct, namely when they made the false representations that deceived the victim or a third party.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
73,73,Is the time when the victim's damage actually occurred relevant?,"Any subsequent moment at which the victim’s damage actually occurred—thereby completing the fraud—or the time when the victim carried out the harmful act or omission, is irrelevant.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
74,74,When does property damage mean its reduction?,"property means its reduction—specifically, the difference between the monetary value the property had before the disposition caused by the fraudulent conduct and the value remaining after it.",C:\Users\johnk\Documents\GitHub\AILA-application//backend//evaluation//files//Greek Cybercrime Legislation//Decision No 929_2017.txt,
75,0,What are the crimes described in par. 1 and 2?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt,"Any person who intentionally, through the technology of information and communication, suggests an encounter between an adult and a minor under the age of fifteen, aiming at the commitment of the crimes described in par. 1 and 2 of art. 339 and 348Α"
76,1,What is the minimum imprisonment sentence for the described action?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt,is sentenced to an imprisonment of at least two years
77,2,What is the range for the fine that may be imposed?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt,and a fine of fifty to two hundred thousand Euros
78,3,Is the fine mandatory for the described offense?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Approaching a child for sexual reasons - Article 348B.txt,"a fine of fifty to two hundred thousand Euros, when the proposal is followed by further actions"
79,4,What is the minimum imprisonment term for intentionally producing child pornographic material through a computer system?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt,"Any person who intentionally produces, offers, sells or in any way distributes, transfers, purchases, obtains or acquires child pornographic material or broadcasts information concerning the executions of such actions through a computer system or through the Internet is sentenced to at least two years’ imprisonment and a fine of fifty to three hundred thousand Euros."
80,5,"What are the actions in the first and second paragraph punishable by, if certain conditions are met?",,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt,Actions of the first and second paragraph are punishable by imprisonment of up to ten years and a fine of fifty to one hundred thousand Euros
81,6,Under what conditions can the actions of the first and second paragraph lead to imprisonment and a fine?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt,Actions of the first and second paragraph are punishable by imprisonment of up to ten years and a fine of fifty to one hundred thousand Euros
82,7,At what age is it illegal to use a minor for child pornographic material according to the excerpt?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt,using a minor under the age of fifteen.
83,8,What consequences are stated for exploiting the mental or intellectual weakness of a minor for child pornographic material production?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt,"the production of child pornographic material is connected to the exploiting of the need, mental or intellectual weakness"
84,9,What would be the penalty if the act in case b) caused grievous bodily harm?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt,"If such an act as described in case b) resulted in grievous bodily harm to the victim, it will entail a sentence of at least ten years' imprisonment and a fine of one hundred thousand to five hundred thousand Euros."
85,10,What is the penalty for the act in case b) that results in the victim's death?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Child pornography - Article 348Α.txt,"If, however, such an act resulted in the victim’s death, then life imprisonment is imposed."
86,11,Who could face imprisonment according to the text?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Computer fraud - Article 386Α ΠK.txt,"Whoever, with the intent of obtaining for himself or a third person an unlawful material benefit, damages the assets of another by influencing the result of a data processing operation through incorrect configuration of a program, use of incorrect or incomplete data, or with any other influence, shall be punished with imprisonment for 3 months to 5 years."
87,12,For how long could a person be imprisoned according to the text?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Computer fraud - Article 386Α ΠK.txt,"Whoever, with the intent of obtaining for himself or a third person an unlawful material benefit, damages the assets of another by influencing the result of a data processing operation through incorrect configuration of a program, use of incorrect or incomplete data, or with any other influence, shall be punished with imprisonment for 3 months to 5 years."
88,13,What is the minimum duration of imprisonment for an adult who offends the genital respectability of a person under the age of fifteen through lecherous gestures or proposals?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Genital respectability offence - Article 337.txt,"Any adult, who through Internet or other means of communication, builds contact with a person under the age of fifteen and offends the genital respectability of the latter using lecherous gestures or proposals, is sentenced to an imprisonment of at least two years."
89,14,For how long must an individual be imprisoned if the activity rehearsed repeatedly or an encounter has taken place with a minor under the age of fifteen?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Genital respectability offence - Article 337.txt,"In case of this activity rehearsed repeatedly or an encounter has taken place, this shall entail a sentence of at least three years’ imprisonment."
90,15,What are the consequences for maintaining a file without a permit?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Protection of personal data - Article 22 Ν. 2472-1997.txt,Maintaining a file without a permit or violating permit terms is punished by at least one year’s imprisonment and a fine of one to five million Drachmas.
91,16,What are the consequences for unlawful interference with sensitive data?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Protection of personal data - Article 22 Ν. 2472-1997.txt,"Unlawful interference with personal data is punished by imprisonment and a fine; for sensitive data, at least one year’s imprisonment and a fine of one to ten million Drachmas."
92,17,What is the penalty for controllers who violate data transfer rules?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Protection of personal data - Article 22 Ν. 2472-1997.txt,Controllers who fail to comply with Authority decisions or violate data transfer rules face at least two years’ imprisonment and a fine of one to five million Drachmas.
93,18,What punishment is imposed for acts committed for unlawful benefit or to cause harm?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Protection of personal data - Article 22 Ν. 2472-1997.txt,"If acts were committed for unlawful benefit or to cause harm, the punishment is up to ten years’ imprisonment and a fine of two to ten million Drachmas."
94,19,What must the Authority's President do regarding offenses under investigation?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Protection of personal data - Article 22 Ν. 2472-1997.txt,"The Authority's President must notify the Public Prosecutor of any offenses under investigation, forwarding all relevant evidence."
95,20,What is the time limit for preliminary investigations to conclude?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Protection of personal data - Article 22 Ν. 2472-1997.txt,Preliminary investigations must conclude within two months of charges...
96,21,When should the trial begin after the completion of preliminary investigations?,,C:\Users\johnk\Desktop\Projects_and_more\AILA\legislation\files//en//Greek Cybercrime Legislation/Protection of personal data - Article 22 Ν. 2472-1997.txt,...and trial must begin within three months of completion.
